Minutes,FHR_1001
1,145.11875
2,142.60729166666667
3,136.78125
4,138.81041666666667
5,138.48854166666666
6,149.54166666666666
7,151.36041666666668
8,145.58854166666666
9,136.22083333333333
10,149.7125
11,138.08958333333334
12,151.690625
13,140.671875
14,139.18020833333333
15,155.56979166666667
16,153.01666666666668
17,134.378125
18,141.171875
19,136.4625
20,131.37395833333332
21,135.84791666666666
22,92.93854166666667
23,103.31458333333333
24,90.62708333333333
25,135.44895833333334
26,107.18229166666667
27,76.37916666666666
28,127.36875
29,155.98541666666668
30,107.10208333333334
31,141.075
32,92.71875
33,129.5375
34,147.440625
35,144.334375
36,136.16041666666666
37,140.95833333333334
38,94.68958333333333
39,140.825
40,120.74375
41,124.42083333333333
42,110.47083333333333
43,145.490625
44,30.740625
45,121.43645833333333
46,103.64270833333333
47,130.50520833333334
48,100.28125
49,95.11458333333333
50,132.20833333333334
51,54.340625
52,92.6125
53,73.715625
54,103.38020833333333
55,82.875
56,130.76875
57,111.90520833333333
58,66.16979166666667
59,78.00416666666666
60,69.41145833333333
61,86.528125
62,93.128125
63,143.21354166666666
64,27.535416666666666
65,111.6875
66,118.14791666666666
67,78.896875
68,116.70833333333333
69,36.665625
70,126.0375
71,58.411458333333336
72,72.140625
73,37.532291666666666
74,0.0
75,19.973958333333332
76,32.60625
77,33.509375
78,56.3
79,55.760416666666664
80,19.955208333333335
