Minutes,FHR_1002
1,150.32395833333334
2,138.34166666666667
3,139.40416666666667
4,148.26041666666666
5,139.52916666666667
6,161.725
7,161.821875
8,151.49375
9,151.24583333333334
10,139.390625
11,153.703125
12,155.66979166666667
13,155.878125
14,153.271875
15,152.18333333333334
16,151.23125
17,150.209375
18,147.684375
19,146.98541666666668
20,145.70520833333333
21,145.26458333333332
22,148.51041666666666
23,155.74895833333332
24,156.61041666666668
25,135.4375
26,150.21875
27,149.490625
28,152.03958333333333
29,152.26875
30,150.85520833333334
31,149.21041666666667
32,149.428125
33,146.965625
34,149.915625
35,130.78333333333333
36,148.53541666666666
37,167.071875
38,158.47708333333333
39,147.46458333333334
40,131.86458333333334
41,84.965625
42,139.746875
43,154.11875
44,166.375
45,44.23645833333333
46,58.786458333333336
47,23.923958333333335
48,100.36770833333334
49,136.04583333333332
50,116.20208333333333
51,146.20833333333334
52,127.80104166666666
53,131.04166666666666
54,158.82604166666667
55,156.26875
56,106.83125
57,173.33645833333333
58,154.76354166666667
59,158.96354166666666
60,120.04895833333333
61,20.46875
62,79.584375
63,46.651041666666664
64,29.691666666666666
65,76.23958333333333
66,78.85520833333334
67,92.15
68,104.759375
69,68.47916666666667
70,52.43020833333333
71,73.64479166666666
72,90.5625
73,75.10729166666667
74,78.68854166666667
75,65.18229166666667
76,71.04583333333333
77,116.41458333333334
78,77.22604166666666
79,14.654166666666667
80,24.2125
