Minutes,FHR_1003
1,143.7125
2,148.24375
3,146.09791666666666
4,135.853125
5,141.971875
6,134.325
7,135.83854166666666
8,134.2875
9,134.36145833333333
10,135.171875
11,82.30833333333334
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,47.453125
23,124.45520833333333
24,130.44270833333334
25,123.26770833333333
26,127.184375
27,122.92916666666666
28,121.0
29,116.809375
30,126.90729166666667
31,128.159375
32,122.86666666666666
33,132.71875
34,131.16666666666666
35,117.76979166666666
36,111.23958333333333
37,121.38333333333334
38,124.26666666666667
39,125.13645833333334
40,127.32395833333334
41,125.78125
42,130.625
43,113.93645833333333
44,127.17395833333333
45,127.91145833333333
46,118.2
47,118.02604166666667
48,122.91666666666667
49,124.17395833333333
50,129.19583333333333
51,107.66458333333334
52,124.784375
53,126.725
54,118.56458333333333
55,123.86145833333333
56,111.196875
57,125.45104166666667
58,123.06354166666667
59,128.18020833333333
60,132.88541666666666
61,118.26666666666667
62,123.83020833333333
63,124.89583333333333
64,113.878125
65,108.16979166666667
66,78.175
67,47.91041666666667
68,74.15729166666667
69,47.655208333333334
70,66.52395833333334
71,65.96354166666667
72,60.41979166666667
73,39.89791666666667
74,0.0
75,0.0
